,labels,scores,hw1_rules_1_Rule_N_v1,hw1_rules_Verification,hw1_rules_2_Rule_N_v1,hw1_rules_1_Rule_N,hw1_rules_2_Rule_N
hw1_design_(181),0,-0.9554204999999999,1,1,1,1,1
hw1_design_(181),0,-0.9554204999999999,1,1,1,1,1
hw1_design_(284),0,-0.9488185600000001,1,1,1,1,1
hw1_design_(284),0,-0.9488185600000001,1,1,1,1,1
hw1_design_(277),0,-0.9447924,1,1,1,1,1
hw1_design_(277),0,-0.9447924,1,1,1,1,1
hw1_design_(122),0,-0.9355559299999998,1,1,1,1,1
hw1_design_(122),0,-0.9355559299999998,1,1,1,1,1
hw1_design_(170),0,-0.93075156,1,1,1,1,1
hw1_design_(170),0,-0.93075156,1,1,1,1,1
hw1_design_(475),0,-0.9268839399999999,1,1,1,1,1
hw1_design_(475),0,-0.9268839399999999,1,1,1,1,1
hw1_design_(169),0,-0.9164908,1,1,1,1,1
hw1_design_(169),0,-0.9164908,1,1,1,1,1
hw1_design_(121),0,-0.9135679000000001,1,1,1,1,1
hw1_design_(121),0,-0.9135679000000001,1,1,1,1,1
hw1_design_(61),0,-0.8921776999999997,1,1,1,1,1
hw1_design_(61),0,-0.8921776999999997,1,1,1,1,1
hw1_design_(1169)_v1,0,-0.8898162999999999,1,1,1,1,1
hw1_design_(1169),0,-0.8898162999999999,1,1,1,1,1
hw1_design_(7),0,-0.8837270000000002,1,1,1,1,1
hw1_design_(7)_v1,0,-0.8837270000000002,1,1,1,1,1
hw1_design_(60),0,-0.8593900000000001,1,1,1,1,1
hw1_design_(60),0,-0.8593900000000001,1,1,1,1,1
hw1_design_(175),0,-0.8583211300000001,1,1,1,1,1
hw1_design_(175),0,-0.8583211300000001,1,1,1,1,1
hw1_design_(129),0,-0.8483532700000003,1,1,1,1,1
hw1_design_(129),0,-0.8483532700000003,1,1,1,1,1
hw1_design_(186),0,-0.8478833999999998,1,1,1,1,1
hw1_design_(186),0,-0.8478833999999998,1,1,1,1,1
hw1_design_(288),0,-0.8244483000000001,1,1,1,1,1
hw1_design_(288),0,-0.8244483000000001,1,1,1,1,1
hw1_design_(64),0,-0.8192389000000001,1,1,1,1,1
hw1_design_(64),0,-0.8192389000000001,1,1,1,1,1
hw1_design_(287),0,-0.8187946000000002,1,1,1,1,1
hw1_design_(287),0,-0.8187946000000002,1,1,1,1,1
hw1_design_(282),0,-0.8183116999999999,1,1,1,1,1
hw1_design_(282),0,-0.8183116999999999,1,1,1,1,1
hw1_design_(128),0,-0.8168542,1,1,1,1,1
hw1_design_(128),0,-0.8168542,1,1,1,1,1
hw1_design_(174),0,-0.8167311999999998,1,1,1,1,1
hw1_design_(174),0,-0.8167311999999998,1,1,1,1,1
hw1_design_(182),0,-0.8134727999999998,1,1,1,1,1
hw1_design_(182),0,-0.8134727999999998,1,1,1,1,1
hw1_design_(130),0,-0.8117837999999999,1,1,1,1,1
hw1_design_(130),0,-0.8117837999999999,1,1,1,1,1
hw1_design_(176),0,-0.8109775,1,1,1,1,1
hw1_design_(176),0,-0.8109775,1,1,1,1,1
hw1_design_(1170)_v1,0,-0.8096393299999998,1,1,1,1,1
hw1_design_(1170),0,-0.8096393299999998,1,1,1,1,1
hw1_design_(63),0,-0.8083210000000001,1,1,1,1,1
hw1_design_(63),0,-0.8083210000000001,1,1,1,1,1
hw1_design_(480),0,-0.8034163000000001,1,1,1,1,1
hw1_design_(480),0,-0.8034163000000001,1,1,1,1,1
hw1_design_(90),0,-0.8026734600000001,1,1,1,1,1
hw1_design_(90),0,-0.8026734600000001,1,1,1,1,1
hw1_design_(132),0,-0.8022882300000002,1,1,1,1,1
